No.;Описание;Описание 2
3315327000;маркуч 3/4 L=1400 mm;3/4 BSP M  1-3/16 ORFS SF
3315327190;окомплектовка KM 300;
3315329190;окомплектовка KM 300/450;
3315332100;маркуч 3/4 L=1900 mm;3/4 BSP M  1-3/16 ORFS SF
3315332390;клапан предпазен комплект;
3315333100;Носач SBC 650 JCB JS 70;
3315333102;Втулка;ф90х45
3315333103;Ребро;8х120х221
3315333104;Ухо;15х220х445
3315333105;Втулка;ф90х15
3315335900;Носач за CAT 428D and 432D;SB 300
3315335901;Втулка;ф50.25хф90х43
3315335903;Ухо;
3315335904;Втулка;ф45.25хф80х22.5
3315335905;Ребро;
3315336400;Носач SBC 255 JCB 802;
3315336402;Ухо;3315_3364_00 поз. 2
3315336406;Ухо с отвори ф20;3315_3364_00 поз. 6
3315336500;Носач SBC 650 JCB 804.5;
3315336502;Втулка;ф65хф37х35
3315336503;Ухо;3315_3365_00 поз. 3
3315336504;Втулка с отвор;ф65хф37х35
3315336505;Ребро 8x105x158;
3315336600;Носач SBC 850 JCB 804.5;
3315336602;Втулка;ф65хф37х30
3315336603;Ухо;3315_3366_00 поз. 3
3315336604;Втулка с отвор;ф65хф37х30
3315336605;Ребро 10x105x158;
3315338790;клапан предпазен комплект;
3315338900;маркуч 1/2 L=650 mm;1/2BSP F-1/2 BSP F 90deg
3315347200;Плоча основна SB 55;
3315349200;плоча основна sb 302;400х310x25
3315356600;Плоча основна;заг. 9GR5356600
3315369700;маркуч 3/8 L=1175 mm;3/8 BSP M - 13/16 ORFS SF
3315369790;окомплектовка KM 105;
3315379100;маркуч 3/4 L=1470 mm;3/4 BSP M  1-3/16 ORFS SF
3315379190;окомплектовка KM 305;
3315385605;стикер cp ф90;
3315385705;стикер cp ф119;
3315389965;окомплектовка KM 205;
3315395500;маркуч 3/4 L=970 mm;3/4 BSP M  1-3/16 ORFS SF
3315395600;маркуч 3/4 L=1180 mm;3/4 BSP M  1-3/16 ORFS SF
3315416210;SHOCK ABSORBER, UPPER;EC70T + RX6 RM-BREAKER!?
3360065582;активатор за лепило LOCTITE;активатор за ContiLube II
3360328063;водеща втулка предна HM200;
3360992052;тапа експандер Ф6;MB 700-060
3361192019;O-RING;72.39x5.33 NBR70 Ref. 3575
3361192020;O-ring NBR 90 Shore;94.62x5.33 NBR 90 SHORE
3361192021;BACKUP RING;94.83x4.65 N300-90  Ref. 59172
3361192059;O-RING;88.49x3.53 NBR 90 Ref. 8055
3362261763;Втулка с резба М16;St52-3N (1.0570)
3362265565;шило ф90 за HM350/MB500;
3362267714;ребро 190х100х15;ребро за носач 3363105295 поз5
3363002819;стикер P-CL;стикер напор-слив за ContiLube
3363034506;Бутилка за азот 5 l;
3363066054;О-пръстен 62.87х5.33;N 552-90 NBR AS568 B/ BS1806
3363066055;О-пръстен 8х1.88;N 552-90 NBR
3363066058;О-пръстен 25.07х2.62;N 552-90 NBR Parker
3363066059;О-пръстен 6.86х1.78;N 674-70 NBR
3363066062;капа за приемник на греста;капа B 605 GPN 600 Poppelman
3363066063;пружина 25х27.5х74.5;D-270 Gutekunst
3363066081;SPRING DOWN SLEEVE;
3363066272;пружина 0.7х3х30;d0.7 ,Dm3 ,Lg30 ,ig25 ,if23
3363066288;документация за ContiLube II;документация за ContiLube II
3363066300;капа-М14х1.4-G1/4;KUNSTSTOFF
3363066412;Адаптор за пълнене на Contilub;
3363067123;ContiLube II;
3363067125;корпус;
3363067127;помпена вложка;
3363067129;пружинна стойка;
3363067131;прът вътрешен;
3363067133;прът външен;
3363067135;втулка;
3363067137;корпус на клапана;
3363067139;винт;
3363067545;щифт резбови-доработка;
3363068287;Приемник;
3363068289;приемник на греста;
3363069179;обратен клапан к-т;обр. клап. к-т за ContiLube II
3363069347;втулка водеща за HM 720;
3363070112;Ребро;St52-3N (1.0570)
3363070299;пресмасленка 1/4;DIN 71412 Umeta
3363082235;Шило за HM 1000;
3363082787;шило за HM 780/МВ 1200;
3363084877;шило ф110 за HB 1000;
3363087264;moil point for HM 720;
3363087785;Втулка;St52-3N
3363087891;Ребро;заНосач КМ105 - KUBOTA KX 15-3
3363089659;заготовка 36CrNiMo4 ф70x627;за инструменти SB 200, HM 265
3363089665;заготовка 36CrNiMo4 ф85х774;за инструменти CP 400
3363089671;заготовка 36CrNiMo4 ф55х537;за инструменти SB 150, HM 165
3363089672;заготовка 36CrNiMo4 ф68x597;за цил. накрайник SB 150
3363089673;заготовка 36CrNiMo4 ф55х777;за шило дълго SB 150
3363089674;заготовка 36CrNiMo4 ф90x727;за цил. накрайник ф90 SB 200
3363089675;заготовка 36CrNiMo4 ф70x927;за шило дълго SB 200
3363089676;заготовка 36CrNiMo4 ф85x827;за инстр. SB300 HM365 TEX 250H
3363089677;заготовка 36CrNiMo4 ф100x857;за инстр. цилиндричен TEX 250H
3363089678;заготовка 36CrNiMo4 ф85x1027;за дълги инстр. SB 300 TEX 250
3363089679;заготовка 36CrNiMo4 ф85x1427;за свръх дълго шило TEX 250
3363089680;заготовка 36CrNiMo4 ф110x777;за инстр. цилиндричен SB 300
3363089682;заготовка 36CrNiMo4 ф55х455;за инструменти CP 100
3363089683;заготовка 36CrNiMo4 ф55х507;за инструменти дълги CP 100
3363089684;заготовка 36CrNiMo4 ф60х557;за инструменти CP 150
3363089685;заготовка 36CrNiMo4 ф60х622;за дълги инструменти CP 150
3363089686;заготовка 36CrNiMo4 ф68х619;за инструменти CP 200
3363089687;заготовка 36CrNiMo4 ф68х692;за дълги инструменти CP 200
3363089688;заготовка 36CrNiMo4 ф75х694;за инструменти CP 300
3363089689;заготовка 36CrNiMo4 ф75х777;за дълги инструменти CP 300
3363089691;заготовка 36CrNiMo4 ф85х867;за дълги инструменти CP 400
3363089976;стикер UoP Group 1 - кръгъл;AC tools/genuine parts/access
3363091884;стикер за ас лого;за компактори Re. 3371897180
3363092699;стикер ContiLube II;
3363093495;Носач КМ55-KUBOTA K008;
3363094539;Шайба 16;ISO 7093-1
3363094543;пачка грес лагерна 400 гр.;Texaco Starplex EP 2
3363094958;длето паралелно cp 400;ф80х747
3363097777;длето sb 200 Timet;ф65х600
3363099771;ухо дясно;KM55 Kubota U15-3
3363099773;ухо ляво;KM55 Kubota U15-3
3363099775;втулка ф50х38;KM55 Kubota U15-3
3363099777;Фиксатор ф20х53;KM55 Kubota U15-3
3363099781;Ухо;Поз. 2 от 336 3093495
3363100413;Носач КМ55-KUBOTA U15-3;
3363100451;Носач КМ450 - KUBOTA KX 080-3;
3363100453;Ухо;St 52-3N -лист деб. 15 мм
3363100455;Ухо;St 52-3N -лист деб. 15 мм
3363104801;Носач КМ105 - KUBOTA U15-3;
3363104803;ухо дясно;
3363104805;ухо ляво;
3363104807;Втулка ф60х38;Носач КМ105-KUBOTA U15-3
3363104809;фиксатор ф20х45;
3363104823;Носач КМ105-KUBOTA KX36-3;
3363104825;Втулка ф60х34;За Носач КМ105-KUBOTA KX36-3
3363104827;Фиксатор ф20х41;За Носач КМ105-KUBOTA KX36-3
3363104829;Носач КМ105-KUBOTA U20-3;
3363104831;ухо ляво;Носач КМ105-KUBOTA U20-3
3363104833;ухо дясно;Носач КМ105-KUBOTA U20-3
3363104835;Втулка ф60х34;за Носач КМ105-KUBOTA U20-3
3363104837;ребро;за Носач КМ105-KUBOTA U20-3
3363104859;ухо с отвори;за носач КМ305 Kubota U45
3363104861;ухо;за носач КМ 305 Kubota U45
3363104863;Втулка Ф100хФ40х53;3363105295 поз4
3363104865;фиксаторФ20х48;3363104857поз6
3363105295;Носач Kubota KM305 U45;
3363110001;шило cp 100;ф42х428
3363110002;длето cp 100;ф42х428
3363110003;инструмент цилиндричен cp 100;ф42х428
3363110006;шило дълго cp 100;ф42х480
3363110007;длето дълго cp 100;ф42х480
3363120001;шило cp 150;ф52х530
3363120002;длето cp 150;ф52х530
3363120003;инструмент цилиндричен cp 150;ф52х530
3363120006;шило дълго cp 150;ф52х595
3363120007;длето дълго cp 150;ф52х595
3363130001;шило cp 200;ф62х592
3363130002;длето cp 200;ф62х592
3363130003;инструмент цилиндричен cp 200;ф62х592
3363130006;шило дълго cp 200;ф62х665
3363130007;длето дълго cp 200;ф62х665
3363140001;шило cp 300;ф70х667
3363140002;длето cp 300;ф70х667
3363140003;инструмент цилиндричен cp 300;ф70х667
3363140006;шило дълго cp 300;ф70х750
3363140007;длето дълго cp 300;ф70х750
3363150001;шило cp 400;ф80х747
3363150002;длето cp 400;ф80х747
3363150003;инструмент цилиндричен cp 400;ф80х747
3363150006;шило дълго cp 400;ф80х840
3363150007;длето дълго cp 400;ф80х840
3370000416;бързосменник 3/4 F-ISO 16028;Stucchi801300022 F.A15 3/4BSP
3370820294;бързосменник 3/4 F-ISO 16028;Stucchi801300022 F.A15 3/4BSP
3371801040;дръжка предна комплект;lh10/12
3371801082;7 m маркуч двоен 1/2 комплект;1/2 bsp m-1/2 bsp f
3371801083;0,4 m маркучи 1/2 комплект;1/2 bsp m-1/2 bsp f
3371801087;7 m маркуч двоен комплект;1/2 bsp m-1/2 bsp m
3371801089;12 m маркуч двоен комплект;1/2 bsp m-1/2 bsp m
3371801090;5 m маркуч двоен 3/8 комплект;за директен монтаж-Closed
3371801092;1,3 m маркучи 1/2 комплект;1/2 bsp m-1/2 bsp f
3371801094;0,5 m краен маркуч LHD23;за въздух-Closed
3371801108;инструмент за набиване ф100;
3371801109;инструмент за набиване ф150;
3371801110;инструмент за набиване ф200;
3371801114;шило конусно 32x160x600 ф45/20;съставно, с дораб.длето 32x160
3371801115;шило конусно 32x160x455 ф17/22;доработка на шило 32x160
3371801154;уредба измерителна  5-46 л/мин;
3371801155;уред за зареждане с азот к-т;service kit - the one and only
3371801162;0,4 m маркучи 1/2 комплект;jic fittings
3371801165;0,4 m маркучи 3/4 комплект;
3371801166;0,4 m маркучи 3/8 комплект;
3371801179;инструмент за набиване ф32х160;ground rod ramming chisel
3371801181;клапан пусков к-т hpd-hv, hrd;заменен от 3371821043
3371801182;0,4 m маркучи 1/2 комплект;13/16 orfs sf - 13/16 orfs sf
3371801183;7 m маркуч двоен комплект;13/16 orfs sw - 13/16 orfs sf
3371801184;3,5m маркуч двоен 1/2 комплект;
3371801185;5 m маркуч двоен 3/8 комплект;2x 3/8 bsp m-3/8 bsp m
3371801186;0,4 m маркучи с шлаух 1/2 к-т;3/4 unf m - 3/4 unf f
3371801187;2,0 m маркучи 3/8 комплект;за резачки 3/8 bsp m-3/4 unf f
3371801188;0,4 m маркучи с шлаух 1/2 к-т;1/2 bsp m-1/2 bsp f
3371801189;1,6 m маркучи 1SN 3/8 к-т;1/2 bsp m-1/2 bsp f
3371801190;1,6 m маркучи вн 1/2 к-т;1/2 bsp m-1/2 bsp f
3371802043;дръжка гумена ф19/ф38x115;
3371802073;фиксатор;Ф11,5x50
3371802075;пружина;кооп
3371802105;стикер hex 32x160 Atlas Copco;AC син фон, бял текст L=190 mm
3371802106;стикер hex 32x152 Atlas Copco;AC син фон, бял текст L=190 mm
3371802107;стикер hex 28x160 Atlas Copco;AC син фон, бял текст L=190 mm
3371802108;стикер hex 28x152 Atlas Copco;AC син фон, бял текст L=190 mm
3371802109;стикер hex 25x108 Atlas Copco;AC син фон, бял текст L=190 mm
3371802110;стикер hex 22x108;черен, бели букви
3371802111;стикер hex 22x82.5 Atlas Copco;AC син фон, бял текст L=190 mm
3371802115;стикер р;червен, бяла буква
3371803043;табелка matweld;
3371803044;стикер безопасност (англ.);фирмен
3371803046;стикер lifton (лого);непрозpaчен на бял фон
3371803047;табелка lifton (breakers a/s);
3371803050;маркуч 0,4 m  вн 1/2;1/2bsp m-1/2bsp f
3371803051;0,8 m маркуч вн 1/2;1/2bsp m-1/2bsp f
3371803052;7 m маркуч двоен вн 1/2;1/2bsp m-1/2bsp m
3371803053;12 m маркуч двоен вн 1/2;1/2bsp m-1/2bsp m
3371803054;5 m маркуч двоен вн 3/8;1/2bsp m-1/2bsp f
3371803055;7 m маркуч двоен вн 1/2;1/2bsp m-1/2bsp f
3371803056;0,4 m маркуч вн 1/2;1/2bsp m-3/4jic f
3371803057;маркуч 1,3 m  вн 1/2;1/2bsp m-1/2bsp f
3371803058;1,5 m маркуч вн 3/4;3/4bsp male-ii  22 female
3371803059;2,3 m маркуч вн 3/4;3/4bsp male-ii  22 female
3371803060;маркуч 0,4 m  вн 3/4;3/4bsp m-3/4bsp f
3371803061;0,4 m маркуч 1SN 3/8;3/8bsp m-3/8bsp f
3371803062;моточасовник комплект;за станции
3371803063;2,0 m маркуч вн 1/2;1/2bsp m-1/2bsp f
3371803064;1,6 m маркуч вн 1/2;1/2bsp m-1/2bsp f
3371803065;0,305 m маркуч 1/2;2sn12 1/2 bsp f - 1/2 nptf m
3371803066;0,380 m маркуч 1/2;2sn12 3/4 jic f - 3/4 jic f
3371803067;1,78 m маркуч 1/2;2sn12 3/4 jic f - 3/4 jic f
3371803068;1,8 m маркуч 1/2;2sn12 1/2 bsp f - 1/2 bsp f
3371803069;0,4 m маркуч вн 1/2;13/16 orfs sf - 13/16 orfs sf
3371803070;7 m маркуч двоен вн 1/2;13/16 orfs sf - 13/16 orfs sf
